\a	警告(ビープ音)を鳴らす
\b	バックスペース
\e
\E	エスケープ文字
\f	フォームフィード
\n	改行
\r	復帰(キャリッジリターン)
\t	水平タブ
\v	垂直タブ
\\	バックスラッシュ
\'	シングルクォーテーション
\"	ダブルクォーテーション
\nnn	8進数nnnに相当する8bit文字
\xHH	16進数HHに相当する16bit文字
\uHHHH	16進数HHHHに相当する32bitのUnicode文字
\UHHHHHHHH	16進数HHHHHHHHに相当する64bitのUnicode文字
\cx	Ctrl+x に相当する文字

文字修飾
\e[0m	装飾なし
\e[1m	太字
\e[2m	細字(未対応)
\e[3m	イタリック体
\e[4m	<u>下線</u>
\e[5m	ブリンク
\e[6m	高速ブリンク
\e[7m	文字色と背景色の反転
\e[8m	表示を隠す
\e[9m	取り消し
\e[30m	文字色を黒色にする
\e[31m	文字色を赤色にする
\e[32m	文字色を緑色にする
\e[33m	文字色を黄色にする
\e[34m	文字色を青色にする
\e[35m	文字色をマゼンタ(紫色)にする
\e[36m	文字色をシアン(水色)にする
\e[37m	背景色を白色にする
\e[40m	背景色を黒色にする
\e[41m	背景色を赤色にする
\e[42m	背景色を緑色にする
\e[43m	背景色を黄色にする
\e[44m	背景色を青色にする
\e[45m	背景色をマゼンタ(紫色)にする
\e[46m	背景色をシアン(水色)にする
\e[47m	背景色を白色にする

\e[nA   カーソルを上にn移動
\e[nB   カーソルを下にn移動
\e[nC   カーソルを右にn移動
\e[nD   カーソルを左にn移動
\e[nE   カーソルをn行下の先頭に移動
\e[nF   カーソルをn行上の先頭に移動
\e[nG   カーソルを左端からnの場所に移動（左端が1）
\e[n;mH カーソルを上端からn、左端からmの場所に移動（左上が1,1）
\e[0J   画面のカーソルより後ろを消去（0は省略可）
\e[1J   画面のカーソルより前を消去
\e[2J   画面全体を消去
\e[0K   その行のカーソルより後ろを消去（0は省略可）
\e[1K   その行のカーソルより前を消去
\e[2K   その行全体を消去
\e[nS   画面をn行次にスクロールする
\e[nT   画面をn行前にスクロールする

